experiment,target,model,train_time_sec,n_train,n_valid,n_test,n_features,valid_MSE,valid_RMSE,valid_MAE,valid_R2,valid_Pearson,valid_Spearman,valid_Top20_Precision,valid_Top20_Recall,valid_Top20_F1,MSE,RMSE,MAE,R2,Pearson,Spearman,Top20_Precision,Top20_Recall,Top20_F1
experiment1_lead1_basic,Oscore,lightgbm,1.412236213684082,119618,26125,28849,100,1.7343412763173451,1.316943915403137,0.9118276373334474,0.32497303225933294,0.6168655625711237,0.6822624194043285,0.5205741626794258,0.5205741626794258,0.5205741626794258,1.7805631789607752,1.334377449959634,0.9718167864047783,0.25384573735046956,0.6115848901278969,0.6763919156817749,0.5395147313691507,0.5395147313691507,0.5395147313691507
experiment1_lead1_basic,Oscore,random_forest,11.54007887840271,119618,26125,28849,100,1.8669525668314084,1.366364726868858,0.9721137711320457,0.2733590860618689,0.598587433563788,0.639792130600319,0.483444976076555,0.483444976076555,0.483444976076555,1.9300865042781248,1.3892755321670804,1.0529645537685508,0.191187210054522,0.6085711999526104,0.6344878128020102,0.4977469670710572,0.4977469670710572,0.4977469670710572
experiment1_lead1_basic,Oscore,mlp_128_64,3.3571829795837402,119618,26125,28849,100,1.8308401067153468,1.3530854025948793,0.9878425590911815,0.28741449994301804,0.5853686939726985,0.580467572886019,0.4453588516746411,0.4453588516746411,0.4453588516746411,1.9092964303382367,1.38177293009316,1.0523962219994776,0.1998993986891877,0.5689446248996564,0.5629613379093072,0.44020797227036396,0.44020797227036396,0.44020797227036396
experiment1_lead1_basic,Oscore,ridge,0.01691603660583496,119618,26125,28849,100,2.2198204648314075,1.4899061932992317,1.0950954735131126,0.13601855772840254,0.4959327505851327,0.5053197279609565,0.391578947368421,0.391578947368421,0.391578947368421,2.3397087252859805,1.5296106449962947,1.1782457903043964,0.019532887482622607,0.4774637026903678,0.47082844671801716,0.3759098786828423,0.3759098786828423,0.3759098786828423
experiment1_lead1_basic,Oscore,linear,0.22422504425048828,119618,26125,28849,100,2.2207060180634013,1.4902033478902807,1.095339728253485,0.13567388951279336,0.49556361625968115,0.5052337532602259,0.39177033492822966,0.39177033492822966,0.39177033492822966,2.3401901713189335,1.5297680122551045,1.1783474262114777,0.019331135018026857,0.4772850116506424,0.4707206130266392,0.3759098786828423,0.3759098786828423,0.3759098786828423
experiment1_lead1_basic,Oscore,dummy_mean,0.0001468658447265625,119618,26125,28849,100,2.8613540446495844,1.6915537368495228,1.2418687580109744,-0.11367420632090353,,,0.18507177033492822,0.18507177033492822,0.18507177033492822,2.796719283641149,1.6723394642359992,1.2811267572433047,-0.17197976436923468,,,0.15961871750433276,0.15961871750433276,0.15961871750433276
experiment2_lead1_lag_change,Oscore,lightgbm,1.7184231281280518,111715,24966,27454,138,1.5636237129432788,1.2504494043915886,0.8668788574160265,0.3836419619869269,0.6593678085721766,0.711154296244034,0.5444533440128154,0.5444533440128154,0.5444533440128154,1.5468199897596848,1.2437121812379601,0.9295514118201688,0.34365740130395794,0.6799167262986743,0.7138431861959502,0.5702057912948462,0.5702057912948462,0.5702057912948462
experiment2_lead1_lag_change,Oscore,random_forest,26.948938846588135,111715,24966,27454,138,1.7253359266027215,1.3135204325029441,0.9288421445067765,0.319897327066888,0.629041139356175,0.6665888375880146,0.5026031237484982,0.5026031237484982,0.5026031237484982,1.7960913597493653,1.3401833306489697,1.0134164177149831,0.2378872277590922,0.637537672317009,0.6621449865504855,0.5184847932981242,0.5184847932981242,0.5184847932981242
experiment2_lead1_lag_change,Oscore,mlp_128_64,4.0635340213775635,111715,24966,27454,138,1.6162285176271627,1.2713097646235407,0.935755587062536,0.3629059025778587,0.6351946810107882,0.6231186703205844,0.46876251501802163,0.46876251501802163,0.46876251501802163,1.7468896404655456,1.32169952730019,1.0115753424980434,0.2587643721642874,0.605025992000625,0.5915042114757018,0.4543798943726097,0.4543798943726097,0.4543798943726097
experiment2_lead1_lag_change,Oscore,ridge,0.02388787269592285,111715,24966,27454,138,2.1106342931899307,1.45280222094748,1.0692013344120905,0.1680182379270132,0.5324562846433214,0.5406578451666073,0.4173007609130957,0.4173007609130957,0.4173007609130957,2.232768480067749,1.494245120476473,1.1510460958469377,0.052597538048397285,0.5101207073936834,0.5034352839893849,0.3953742487707157,0.3953742487707157,0.3953742487707157
experiment2_lead1_lag_change,Oscore,linear,0.27779603004455566,111715,24966,27454,138,2.111365793088171,1.453053953949464,1.0693442366811305,0.1677298911602343,0.532228142041139,0.5405842163981517,0.4171005206247497,0.4171005206247497,0.4171005206247497,2.2332562593950525,1.4944083308771576,1.1511186415909451,0.05239056480432758,0.5099967867460977,0.5033874795212347,0.395556364960845,0.395556364960845,0.395556364960845
experiment2_lead1_lag_change,Oscore,dummy_mean,0.00014400482177734375,111715,24966,27454,138,2.820306676260987,1.6793768714201667,1.233082635563608,-0.11172443548024646,,,0.18101722066479775,0.18101722066479775,0.18101722066479775,2.7570081999290155,1.6604241024295616,1.2706917404077347,-0.16984648410759062,,,0.15625569113094154,0.15625569113094154,0.15625569113094154
experiment1_lead1_basic,Zrisk,random_forest,13.004050016403198,125073,27683,29514,100,36.60634586147853,6.050317831443116,2.2891669457073287,0.43192119246040883,0.6616542957710754,0.7916363111340304,0.6487267473361026,0.6487267473361026,0.6487267473361026,28.185989682506435,5.309047907347082,2.1540903797520206,0.40307603710864925,0.6609212044405403,0.7692492092293701,0.6173132305607318,0.6173132305607318,0.6173132305607318
experiment1_lead1_basic,Zrisk,lightgbm,1.3403470516204834,125073,27683,29514,100,36.03513023919981,6.0029268060838294,2.3299411375451227,0.44078565248545476,0.6670646501193174,0.7839362208760713,0.6274155679971104,0.6274155679971104,0.6274155679971104,29.33165473094414,5.415870634620452,2.1844724640010673,0.3788130990829537,0.6295519367018088,0.7675272639930855,0.6117228527867186,0.6117228527867186,0.6117228527867186
experiment1_lead1_basic,Zrisk,mlp_128_64,7.637694835662842,125073,27683,29514,100,37.046507839165315,6.086584250560023,2.424635229049852,0.42509049998007287,0.6568764008954391,0.7548599991929176,0.5884052736138703,0.5884052736138703,0.5884052736138703,27.10168926104887,5.205928280436533,2.2423321917219723,0.4260393927272359,0.6649901109270902,0.7236182625116375,0.5605624258851432,0.5605624258851432,0.5605624258851432
experiment1_lead1_basic,Zrisk,ridge,0.016986846923828125,125073,27683,29514,100,45.09124209550145,6.715001272933717,3.13490385676158,0.30024758174382626,0.5569442981514424,0.7241371760492669,0.5994220697128408,0.5994220697128408,0.5994220697128408,33.39233900655725,5.7786104736828605,2.9888792594484355,0.29281577285268223,0.5748316021853104,0.6870106871647187,0.5641199390140607,0.5641199390140607,0.5641199390140607
experiment1_lead1_basic,Zrisk,linear,0.18951892852783203,125073,27683,29514,100,45.102196313753105,6.715816876133022,3.135740279209467,0.3000775877415438,0.5568255134546407,0.7240147676655843,0.5990608632833665,0.5990608632833665,0.5990608632833665,33.41141830147574,5.780261092846563,2.990842904154614,0.29241171081830963,0.5746179512225635,0.6869811968904848,0.5644587497882433,0.5644587497882433,0.5644587497882433
experiment1_lead1_basic,Zrisk,dummy_mean,0.0001659393310546875,125073,27683,29514,100,64.56824295085907,8.03543669944945,3.7606562131486694,-0.002007974225295417,,,0.11811450243814339,0.11811450243814339,0.11811450243814339,47.22279466869856,6.871884360835721,3.582562446571338,-8.614385959182513e-05,,,0.11536506860918178,0.11536506860918178,0.11536506860918178
experiment2_lead1_lag_change,Zrisk,random_forest,29.407430171966553,114407,25750,27798,139,36.14941398295641,6.012438272694067,2.2860339722022234,0.4533341289446432,0.6765758762227692,0.8070446186004212,0.6699029126213593,0.6699029126213593,0.6699029126213593,27.321616603071355,5.227008379854709,2.128386386856485,0.4195758069760597,0.6766448770853908,0.7919384825892571,0.6494604316546763,0.6494604316546763,0.6494604316546763
experiment2_lead1_lag_change,Zrisk,lightgbm,1.524653673171997,114407,25750,27798,139,35.29663343051515,5.941096988815715,2.3058814023385095,0.46623021693487077,0.6863199922401795,0.798210814102222,0.6572815533980583,0.6572815533980583,0.6572815533980583,27.301509836092983,5.225084672624261,2.147019349197017,0.4200029579081327,0.6688777467094573,0.7872721001559385,0.6444244604316547,0.6444244604316547,0.6444244604316547
experiment2_lead1_lag_change,Zrisk,mlp_128_64,7.598048686981201,114407,25750,27798,139,35.38286629878815,5.948349880327161,2.3770931155746884,0.46492616907201223,0.6911613772088211,0.7853549679909675,0.6258252427184466,0.6258252427184466,0.6258252427184466,25.767794203362527,5.076198794704807,2.216776878505734,0.4525854244359627,0.6899570621888063,0.7537098369722245,0.5888489208633093,0.5888489208633093,0.5888489208633093
experiment2_lead1_lag_change,Zrisk,ridge,0.02207803726196289,114407,25750,27798,139,45.57360618868575,6.75082263051591,3.228206848603319,0.31081773176135485,0.5704733732960275,0.7357145894036287,0.5986407766990292,0.5986407766990292,0.5986407766990292,32.7080101527776,5.71909172445919,3.0654333882483065,0.305146519177396,0.5921800277078374,0.6990728373307231,0.5703237410071943,0.5703237410071943,0.5703237410071943
experiment2_lead1_lag_change,Zrisk,linear,0.29705309867858887,114407,25750,27798,139,45.58513981865577,6.7516768153293425,3.229045859786786,0.3106433156040981,0.5703597742059228,0.7355959229622241,0.5986407766990292,0.5986407766990292,0.5986407766990292,32.74077837621702,5.721955817394698,3.068821631470515,0.30445038651720335,0.5918520717498333,0.6989106759912397,0.5703237410071943,0.5703237410071943,0.5703237410071943
experiment2_lead1_lag_change,Zrisk,dummy_mean,0.00014495849609375,114407,25750,27798,139,66.32394552038011,8.143951468444548,3.7970299924873663,-0.0029771842725017095,,,0.11048543689320388,0.11048543689320388,0.11048543689320388,47.08906413473931,6.862147195647971,3.592261017965865,-0.00036657595093214645,,,0.10989208633093525,0.10989208633093525,0.10989208633093525
